VENDOR_NAME,COMPETITOR_NAME,NUMBER_OF_REVIEWS,NUMBER_OF_STARS
Informatica,Talend Data Integration,61,4
Keboola,Zapier,1022,4.5
Keboola,MuleSoft Anypoint Platform,519,4.5
Keboola,Supermetrics,506,4.3
Keboola,Integrately,566,4.7
Keboola,Appy Pie,995,4.7
Keboola,Cleo Integration Cloud,430,4.3
Keboola,Veeam Backup & Replication,365,4.6
Keboola,Acronis Cyber Backup,617,4.3
Keboola,Celigo,366,4.6
Keboola,Fivetran,320,4.2
Nexla,Supermetrics,506,4.3
Nexla,Cleo Integration Cloud,430,4.3
Nexla,Microsoft SQL Server,2122,4.4
Nexla,Zapier,1022,4.5
Nexla,Appy Pie,995,4.7
Nexla,Oracle Database,827,4.3
Nexla,IBM Db2,600,4
Nexla,Amazon Relational Database Service (RDS),587,4.5
Nexla,Integrately,566,4.7
Nexla,MuleSoft Anypoint Platform,519,4.5
Stitch Data,Fivetran,320,4.2
Stitch Data,Integrate.io,154,4.3
Stitch Data,Hevo Data,116,4.4
Stitch Data,Skyvia,146,4.8
Stitch Data,AWS Glue,80,4.2
Stitch Data,Supermetrics,506,4.3
Stitch Data,Matillion ETL,31,4.4
Stitch Data,Adverity,183,4.5
Stitch Data,Workato,282,4.7
Stitch Data,Funnel,105,4.5
dremio,Databricks Lakehouse Platform,100,4.6
dremio,Snowflake,389,4.5
dremio,Google Cloud BigQuery,332,4.4
dremio,Azure Synapse Analytics,23,4.3
dremio,Amazon Redshift,300,4.3
dremio,Druid,31,4.3
dremio,IBM Db2,600,4
dremio,Microsoft SQL Server,2122,4.4
dremio,MATLAB,660,4.5
dremio,Posit,547,4.5
databricks,Google Cloud BigQuery,332,4.4
databricks,Qubole,259,4
databricks,Snowflake,389,4.5
databricks,Dremio,41,4.7
databricks,Cloudera,30,4
databricks,Azure Synapse Analytics,23,4.3
databricks,Amazon Redshift,300,4.3
databricks,Teradata Vantage,142,4.2
databricks,Posit,547,4.5
databricks,IBM Db2,600,4
BigQuery,Snowflake,389,4.5
BigQuery,Vertica,177,4.3
BigQuery,Databricks Lakehouse Platform,100,4.6
BigQuery,Cloudera,30,4
BigQuery,Azure Synapse Analytics,23,4.3
BigQuery,Amazon Redshift,300,4.3
BigQuery,Teradata Vantage,142,4.2
BigQuery,IBM Db2,600,4
BigQuery,Dremio,41,4.7
BigQuery,Qubole,259,4
Vertica,Snowflake,389,4.5
Vertica,Google Cloud BigQuery,332,4.4
Vertica,Amazon Redshift,300,4.3
Vertica,Teradata Vantage,142,4.2
Vertica,Microsoft SQL Server,2122,4.4
Vertica,IBM Db2,600,4
Vertica,MariaDB,202,4.4
Vertica,Databricks Lakehouse Platform,100,4.6
Vertica,Oracle Exadata Cloud Service,39,4.4
Vertica,Posit,547,4.5
Mozart,Snowflake,389,4.5
Mozart,IBM Db2,600,4
Mozart,Supermetrics,506,4.3
Mozart,Google Cloud BigQuery,332,4.4
Mozart,Fivetran,320,4.2
Mozart,Amazon Redshift,300,4.3
Mozart,Workato,282,4.7
Mozart,NinjaCat,258,4.2
Mozart,Singular,204,4.4
Mozart,Census,198,4.5
Looker,Mode,230,4.5
Looker,ThoughtSpot,207,4.4
Looker,Zoho Analytics,163,4.2
