VENDOR_NAME,NUMBER_OF_REVIEWS,NUMBER_OF_STARS,CATEGORY_LIST
Informatica,77,4.4,"[
  ""ETL Tools"",
  ""On-Premise Data Integration Software"",
  ""Data Virtualization Software"",
  ""Data Mapping Software""
]"
Keboola,87,4.7,"[
  ""iPaaS Software"",
  ""ETL Tools"",
  ""Data Replication Software"",
  ""Big Data Integration Platforms"",
  ""Data Extraction Software"",
  ""DataOps Platforms""
]"
Nexla,33,4.7,"[
  ""iPaaS Software"",
  ""Big Data Software"",
  ""Database as a Service (DBaaS) Provider"",
  ""ETL Tools"",
  ""On-Premise Data Integration Software"",
  ""Big Data Integration Platforms"",
  ""Cloud Migration Software"",
  ""Stream Analytics Software"",
  ""DataOps Platforms"",
  ""Reverse ETL Software"",
  ""Event Stream Processing Software"",
  ""Active Metadata Management Software""
]"
Stitch Data,59,4.5,"[
  ""ETL Tools""
]"
dremio,41,4.7,"[
  ""Big Data Processing And Distribution Systems"",
  ""Data Warehouse Software"",
  ""Big Data Analytics Software""
]"
starburst,17,4.6,"[
  ""Big Data Processing And Distribution Systems"",
  ""Data Warehouse Software"",
  ""Big Data Analytics Software""
]"
databricks,100,4.6,"[
  ""ETL Tools"",
  ""Big Data Processing And Distribution Systems"",
  ""Data Science and Machine Learning Platforms"",
  ""Data Warehouse Software"",
  ""Big Data Analytics Software"",
  ""DataOps Platforms"",
  ""AI & Machine Learning Operationalization (MLOps) Software""
]"
BigQuery,332,4.4,"[
  ""Big Data Processing And Distribution Systems"",
  ""Data Warehouse Software"",
  ""Big Data Analytics Software"",
  ""Columnar Databases""
]"
Vertica,177,4.3,"[
  ""Big Data Processing And Distribution Systems"",
  ""Data Warehouse Software"",
  ""Columnar Databases""
]"
Mozart,43,4.5,"[
  ""ETL Tools"",
  ""Data Warehouse Software"",
  ""DataOps Platforms"",
  ""Data Observability Software""
]"
Looker,1115,4.4,"[
  ""Sales Analytics Software"",
  ""Marketing Analytics Software"",
  ""Digital Analytics Software"",
  ""Analytics Platforms"",
  ""Embedded Business Intelligence Software""
]"
Qlik,637,4.5,"[
  ""Chatbots Software"",
  ""Analytics Platforms"",
  ""Embedded Business Intelligence Software"",
  ""Predictive Analytics Software"",
  ""Productivity Bots Software"",
  ""Location Intelligence Software"",
  ""Data Warehouse Automation Software""
]"
Trifacta,121,4.4,"[
  ""iPaaS Software"",
  ""ETL Tools"",
  ""Data Quality Software"",
  ""Data Preparation Software""
]"
Palantir,2,4.5,"[
  ""iPaaS Software"",
  ""Predictive Analytics Software"",
  ""Data Science and Machine Learning Platforms"",
  ""Big Data Integration Platforms"",
  ""Master Data Management (MDM) Software"",
  ""Data Preparation Software"",
  ""Data Fabric Software""
]"
green plum,61,4.3,"[
  ""Data Warehouse Software""
]"
Fivetran,320,4.2,"[
  ""ETL Tools"",
  ""Data Replication Software"",
  ""Data Extraction Software""
]"
Precog,4,4.5,"[
  ""ETL Tools""
]"
Airbyte,5,4.1,"[
  ""ETL Tools""
]"
ascend.io,,,
Tableau,1189,4.4,"[
  ""Analytics Platforms"",
  ""Embedded Business Intelligence Software""
]"
